,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
61,Super Convenient To DTLA Location,Mar  6,3795,3,25,1227,1552 W 12th Place at Union Ave,1. apartment 2. w/d in unit 3. attached garage ,34.045236,-118.275709,https://images.craigslist.org/00A0A_2Z9cMUXHKN7_600x450.jpg
62,Super Convenient To DTLA Location,Mar  6,3795,3,25,1227,1552 W 12th Place at Union Ave,1. apartment 2. w/d in unit 3. attached garage ,34.045236,-118.275709,https://images.craigslist.org/00A0A_2Z9cMUXHKN7_600x450.jpg
63,Why live anywhere else when you can live at Rancho Los Feliz?,Mar  6,1795,0,1,425,3205 Los Feliz Blvd,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. detached garage ,34.123444,-118.268708,https://images.craigslist.org/00m0m_lMSAP4uIAuG_600x450.jpg
64,Brand New Renovated Luxury 2Bed w/ Appliance & Floor,Mar  6,2405,2,2,940,,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. no smoking 6. attached garage ,34.058500,-118.301200,https://images.craigslist.org/00505_9W68vxg3tNw_600x450.jpg
65,Super Convenient To DTLA Location,Mar  6,3795,3,25,1227,1552 W 12th Place at Union Ave,1. apartment 2. w/d in unit 3. attached garage ,34.045236,-118.275709,https://images.craigslist.org/00A0A_2Z9cMUXHKN7_600x450.jpg
66,Super Convenient To DTLA Location,Mar  6,3795,3,25,1227,1552 W 12th Place at Union Ave,1. apartment 2. w/d in unit 3. attached garage ,34.045236,-118.275709,https://images.craigslist.org/00A0A_2Z9cMUXHKN7_600x450.jpg
67,Super Convenient To DTLA Location,Mar  6,3795,3,25,1227,1552 W 12th Place at Union Ave,1. apartment 2. w/d in unit 3. attached garage ,34.045236,-118.275709,https://images.craigslist.org/00A0A_2Z9cMUXHKN7_600x450.jpg
68,Super Convenient To DTLA Location,Mar  6,3795,3,25,1227,1552 W 12th Place at Union Ave,1. apartment 2. w/d in unit 3. attached garage ,34.045236,-118.275709,https://images.craigslist.org/00A0A_2Z9cMUXHKN7_600x450.jpg
69,Live the dream life in our gorgeous community! Stop by for a tour!,Mar  6,1360,0,1,400,5020 Rodeo Road,1. apartment 2. laundry on site 3. carport ,34.021211,-118.352782,https://images.craigslist.org/01010_4IoINnaWgyS_600x450.jpg
70,Super Convenient To DTLA Location,Mar  6,3795,3,25,1227,1552 W 12th Place at Union Ave,1. apartment 2. w/d in unit 3. attached garage ,34.045236,-118.275709,https://images.craigslist.org/00A0A_2Z9cMUXHKN7_600x450.jpg
71,Super Convenient To DTLA Location,Mar  6,3795,3,25,1227,1552 W 12th Place at Union Ave,1. apartment 2. w/d in unit 3. attached garage ,34.045236,-118.275709,https://images.craigslist.org/00A0A_2Z9cMUXHKN7_600x450.jpg
