,SOLD DATE,ADDRESS,CITY,STATE,POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY TYPE,SQUARE FOOT
130,FEB 15 2019,1150 W Capitol Dr #71,San Pedro,CA,90732,589000,3,25,SingleFamilyResidence,1758
131,FEB 15 2019,3763 Lankershim Blvd,Los Angeles (City),CA,90068,935000,3,2,SingleFamilyResidence,
132,FEB 15 2019,11150 Glenoaks Blvd #81,Pacoima,CA,91331,303000,2,2,SingleFamilyResidence,1017
133,FEB 15 2019,10311 Marcus Ave,Tujunga,CA,91042,612000,3,3,SingleFamilyResidence,1444
134,FEB 15 2019,16235 Devonshire St #18,Granada Hills,CA,91344,455000,3,225,SingleFamilyResidence,1544
135,FEB 15 2019,5139 Melrose Ave,Los Angeles,CA,90038,3650000,6,22,Accommodation,12677
136,FEB 15 2019,1412 N Kingsley Dr,Los Angeles,CA,90027,5085000,3,30,Accommodation,18645
137,FEB 15 2019,17611 Runnymede St,Lake Balboa,CA,91406,490000,3,15,SingleFamilyResidence,1216
138,FEB 15 2019,3011 Stoner Ave,Los Angeles (City),CA,90066,2195000,5,4,SingleFamilyResidence,2220
139,FEB 15 2019,1420 W 28th St,Los Angeles,CA,90007,844000,5,2,Accommodation,2348
140,FEB 15 2019,601 San Pascual Ave,Los Angeles (City),CA,90042,800000,3,175,SingleFamilyResidence,1400
141,FEB 15 2019,1320 W 101st St,Los Angeles,CA,90044,390000,2,1,SingleFamilyResidence,1032
142,FEB 15 2019,7101 La Tijera Unit G201,Los Angeles (City),CA,90045,490000,1,15,SingleFamilyResidence,1143
143,FEB 15 2019,1420 W 28th St,Los Angeles,CA,90007,844000,5,2,Accommodation,2348
144,FEB 15 2019,601 San Pascual Ave,Los Angeles (City),CA,90042,800000,3,175,SingleFamilyResidence,1400
145,FEB 15 2019,1320 W 101st St,Los Angeles,CA,90044,390000,2,1,SingleFamilyResidence,1032
146,FEB 15 2019,7101 La Tijera Unit G201,Los Angeles (City),CA,90045,490000,1,15,SingleFamilyResidence,1143
147,FEB 15 2019,1055 South Serrano Ave #304,Los Angeles (City),CA,90006,640000,2,2,SingleFamilyResidence,1183
148,FEB 15 2019,5933 Graves Ave,Encino,CA,91316,870000,4,2,SingleFamilyResidence,1533
149,FEB 15 2019,15901 Kingsbury St,Granada Hills,CA,91344,624000,4,2,SingleFamilyResidence,1539
150,FEB 15 2019,21000 Parthenia St #7,Canoga Park,CA,91304,220000,1,1,SingleFamilyResidence,679
151,FEB 15 2019,7913 West 81st St,Playa Del Rey,CA,90293,1478000,4,275,SingleFamilyResidence,2516
152,FEB 15 2019,1610 Michael Ln,Pacific Palisades,CA,90272,1605000,3,35,SingleFamilyResidence,2467
153,FEB 15 2019,1031 S Cabrillo Ave,San Pedro,CA,90731,636000,3,15,SingleFamilyResidence,1388
154,FEB 15 2019,852 West 21st St,San Pedro,CA,90731,627000,3,125,SingleFamilyResidence,1328
155,FEB 15 2019,11586 Gallery Ln,Valley Village,CA,91602,899000,3,35,SingleFamilyResidence,1684
156,FEB 15 2019,6871 Fountain Ave,Los Angeles (City),CA,90038,1470000,3,35,SingleFamilyResidence,2101
157,FEB 15 2019,2275 W 25th St #137,San Pedro,CA,90732,106500,2,175,SingleFamilyResidence,1845
158,FEB 15 2019,14305 Hartsook St,Sherman Oaks,CA,91423,500000,3,3,SingleFamilyResidence,1845
159,FEB 15 2019,875 Comstock Ave Unit 3B,Los Angeles (City),CA,90024,974500,2,2,SingleFamilyResidence,1699
160,FEB 15 2019,13222 Copa De Oro Ct,Sylmar,CA,91342,589500,3,3,SingleFamilyResidence,2118
161,FEB 15 2019,14819 Magnolia Blvd #12,Sherman Oaks,CA,91403,505000,2,3,SingleFamilyResidence,1218
162,FEB 14 2019,120 W 127th St,Los Angeles,CA,90061,425000,2,1,SingleFamilyResidence,899
163,FEB 14 2019,14333 Van Nuys Blvd #45,Arleta,CA,91331,355000,2,25,SingleFamilyResidence,1217
164,FEB 14 2019,15701 Celtic St,Granada Hills,CA,91344,560000,3,2,SingleFamilyResidence,1400
165,FEB 14 2019,8541 Dempsey Ave,North Hills,CA,91343,630000,3,2,SingleFamilyResidence,1572
166,FEB 14 2019,2223 South Bentley Ave #102,Los Angeles (City),CA,90064,715000,3,2,SingleFamilyResidence,1240
167,FEB 14 2019,120 W 127th St,Los Angeles,CA,90061,425000,2,1,SingleFamilyResidence,899
168,FEB 14 2019,13408 Azores Ave,Sylmar,CA,91342,645000,4,3,SingleFamilyResidence,1899
169,FEB 14 2019,6411 Shoup Ave,West Hills,CA,91307,699000,3,2,SingleFamilyResidence,1986
170,FEB 14 2019,15044 Florentine St,Sylmar,CA,91342,605000,3,2,SingleFamilyResidence,1855
171,FEB 14 2019,865 Comstock Ave Unit 15C,Los Angeles,CA,90024,650000,1,15,SingleFamilyResidence,1253
172,FEB 14 2019,1646 North Hoover St,Los Angeles (City),CA,90027,1655000,9,7,Accommodation,3309
173,FEB 14 2019,8611 Hollywood,Los Angeles (City),CA,90069,1640000,3,3,SingleFamilyResidence,2576
174,FEB 14 2019,1241 S Westgate Ave S #102,West Los Angeles,CA,90025,937000,3,3,SingleFamilyResidence,1627
175,FEB 14 2019,7129 Coldwater Canyon Ave #16,North Hollywood,CA,91605,249900,2,1,SingleFamilyResidence,700
176,FEB 14 2019,11752 Kling St,Valley Village,CA,91607,790000,2,1,SingleFamilyResidence,
177,FEB 14 2019,16745 Bermuda St,Granada Hills,CA,91344,660000,4,3,SingleFamilyResidence,1479
178,FEB 14 2019,501 North Gardner St,Los Angeles (City),CA,90036,2402000,7,6,Accommodation,4754
179,FEB 14 2019,4601 Gloria Ave,Encino,CA,91436,1295000,3,4,SingleFamilyResidence,2331
180,FEB 14 2019,9400 Burnet Ave #127,North Hills,CA,91343,530000,4,25,SingleFamilyResidence,1989
181,FEB 13 2019,4614 Talofa Ave,Toluca Lake,CA,91602,1268800,2,25,SingleFamilyResidence,1704
182,FEB 13 2019,9231 Vanalden Ave,Northridge,CA,91324,698250,5,25,SingleFamilyResidence,2364
183,FEB 13 2019,9231 Vanalden Ave,Northridge,CA,91324,698250,5,25,SingleFamilyResidence,2364
184,FEB 13 2019,3812 La Salle Ave,Los Angeles (City),CA,90062,500000,2,1,SingleFamilyResidence,1056
185,FEB 13 2019,4816 Via Colina,Los Angeles,CA,90042,530000,2,2,SingleFamilyResidence,1036
186,FEB 13 2019,11661 Saticoy St,North Hollywood,CA,91605,300000,2,1,SingleFamilyResidence,744
187,FEB 13 2019,10410 McVine Ave,Sunland,CA,91040,421500,3,2,SingleFamilyResidence,1181
188,FEB 13 2019,3545 Copeland Pl,El Sereno,CA,90032,640000,2,1,SingleFamilyResidence,1717
189,FEB 13 2019,241 South Avenue 57 #124,Los Angeles (City),CA,90042,380000,2,2,SingleFamilyResidence,927
190,FEB 13 2019,744 North Curson Ave,Los Angeles (City),CA,90046,1543000,3,25,SingleFamilyResidence,1356
191,FEB 13 2019,1357 Eagle Vista Dr,Los Angeles,CA,90041,960000,5,35,SingleFamilyResidence,2416
192,FEB 13 2019,6500 Vanalden Ave #4,Reseda,CA,91335,410000,3,15,SingleFamilyResidence,1269
193,FEB 13 2019,19000 Archwood #1,Reseda,CA,91335,337000,2,15,SingleFamilyResidence,851
194,FEB 13 2019,7071 Cozycroft Ave,Winnetka,CA,91306,575000,3,175,SingleFamilyResidence,1600
195,FEB 13 2019,18206 Gresham St,Northridge,CA,91325,576000,3,15,SingleFamilyResidence,1316
196,FEB 13 2019,6447 West 77th St,Los Angeles (City),CA,90045,1178000,3,15,SingleFamilyResidence,1392
197,FEB 13 2019,1614 Wellington Rd,Los Angeles (City),CA,90019,1253888,5,3,SingleFamilyResidence,3879
198,FEB 13 2019,214 W 57th St,Los Angeles,CA,90037,490000,4,4,Accommodation,2016
199,FEB 13 2019,602 South Wilton Pl #106,Los Angeles (City),CA,90005,625000,2,2,SingleFamilyResidence,1503
200,FEB 13 2019,6660 Sheltondale Ave,West Hills,CA,91307,775000,4,2,SingleFamilyResidence,1878
201,FEB 13 2019,22840 Mariano St,Woodland Hills,CA,91367,560000,3,1,SingleFamilyResidence,1276
202,FEB 13 2019,26209 Zephyr Ave,Harbor City,CA,90710,710000,3,2,SingleFamilyResidence,1724
203,FEB 13 2019,26209 Zephyr Ave,Harbor City,CA,90710,710000,3,2,SingleFamilyResidence,1724
204,FEB 13 2019,10531 Marklein Ave,Mission Hills (San Fernando),CA,91345,600000,3,3,SingleFamilyResidence,1555
205,FEB 12 2019,5144 Zelzah Ave #5,Encino,CA,91316,400000,2,3,SingleFamilyResidence,1113
206,FEB 12 2019,12013 Neenach St,Sun Valley,CA,91352,420000,2,1,SingleFamilyResidence,840
207,FEB 12 2019,1342 El Paso Dr,Los Angeles (City),CA,90065,598000,2,2,SingleFamilyResidence,1120
208,FEB 12 2019,215 North Avenue 59,Los Angeles (City),CA,90042,825000,5,25,SingleFamilyResidence,1508
209,FEB 12 2019,1055 South Serrano Ave #503,Los Angeles (City),CA,90006,770000,2,2,SingleFamilyResidence,1370
210,FEB 12 2019,7287 Bernadine Ave,West Hills,CA,91307,620000,4,25,SingleFamilyResidence,2637
211,FEB 12 2019,8857 Katherine Ave,Panorama City,CA,91402,450000,2,1,SingleFamilyResidence,780
212,FEB 12 2019,4499 Via Marisol Unit 108A,Los Angeles,CA,90042,448000,2,175,SingleFamilyResidence,1047
213,FEB 12 2019,3502 Larga Ave,Los Angeles (City),CA,90039,956016,3,2,Accommodation,1639
214,FEB 12 2019,2140 Canyon Dr,Los Angeles (City),CA,90068,2962000,4,35,SingleFamilyResidence,3208
215,FEB 12 2019,7420 Corbin Ave #32,Reseda,CA,91335,383000,2,25,SingleFamilyResidence,1176
216,FEB 12 2019,17908 Hatton St,Reseda,CA,91335,590000,4,2,SingleFamilyResidence,1860
217,FEB 12 2019,16308 San Jose St,Granada Hills,CA,91344,593000,3,2,SingleFamilyResidence,1406
218,FEB 12 2019,1753 South Shenandoah St,Los Angeles (City),CA,90035,1430000,3,2,SingleFamilyResidence,1720
219,FEB 12 2019,7304 Corbin Ave Unit A,Reseda,CA,91335,300000,1,1,SingleFamilyResidence,653
220,FEB 12 2019,25555 PINE CREEK Ln,Wilmington,CA,90744,320000,2,1,SingleFamilyResidence,919
221,FEB 11 2019,12455 Kenny Dr,Granada Hills,CA,91344,890000,4,3,SingleFamilyResidence,3021
222,FEB 11 2019,10706 Ohio Ave,Los Angeles (City),CA,90024,2370000,6,6,Accommodation,3959
223,FEB 11 2019,11909 S Main St,Los Angeles,CA,90061,775000,11,5,Accommodation,4700
224,FEB 11 2019,685 687 W 20th St,San Pedro,CA,90731,455000,4,2,Accommodation,1512
225,FEB 11 2019,12455 Kenny Dr,Granada Hills,CA,91344,890000,4,3,SingleFamilyResidence,3021
226,FEB 11 2019,10706 Ohio Ave,Los Angeles (City),CA,90024,2370000,6,6,Accommodation,3959
227,FEB 11 2019,1226 S Manhattan Pl,Los Angeles,CA,90019,1100000,32,21,Accommodation,4802
228,FEB 11 2019,4287 Verdugo Rd,Glassell Park,CA,90065,940000,4,4,Accommodation,2536
229,FEB 11 2019,22649 Covello St,West Hills,CA,91307,630000,4,175,SingleFamilyResidence,1636
230,FEB 11 2019,4255 W 5th St #103,Los Angeles,CA,90020,400000,1,1,SingleFamilyResidence,750
231,FEB 11 2019,8007 Comanche Ave,Winnetka,CA,91306,520000,4,3,SingleFamilyResidence,2406
232,FEB 11 2019,451 South Cochran Ave,Los Angeles (City),CA,90036,3100000,8,8,Accommodation,7155
233,FEB 11 2019,153 North Sycamore Ave Unit U,Los Angeles (City),CA,90036,985000,2,2,SingleFamilyResidence,1419
234,FEB 11 2019,319 North Bundy Dr,Los Angeles (City),CA,90049,2221658,3,3,SingleFamilyResidence,2101
235,FEB 10 2019,22516 Normandie Unit A18,Torrance,CA,90502,85000,2,1,SingleFamilyResidence,800
236,FEB 8 2019,1320 W G St,Wilmington,CA,90744,435000,2,1,SingleFamilyResidence,898
